"blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueDragons","blueHeralds","blueTowersDestroyed","blueAvgLevel","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueWins","blueGoldDiff","blueExperienceDiff"
-213,-19,-1,"-7",7,-14,0,-1,1,-1,0,-1,41,"0",-3800,-610
172,15,1,"-3",3,-2,0,1,-1,0,0,-16,16,"1",-2200,-300
156,22,1,"-4",3,-3,0,-1,0,0,-0.2,6,7,"1",-800,-1180
-182,-16,1,"3",-3,-2,-1,-1,0,0,0.2,8,-5,"0",1400,850
